trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
194,False,"{'a': 0.5, 'e': 0.30927510105514416}",30,7,32.75986103807473,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.3074194504488133}",25,12,22.469602535361588,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.30557493374612044}",20,13,14.69103818697674,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.3037414841436437}",25,4,31.982202541582303,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.30191903523878183}",20,13,13.134341888730097,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.30010752102734917}",25,19,10.686385616240756,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.29830687590118504}",30,20,19.293523508526473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.29651703464577794}",30,0,-10.28726574388476,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.29473793243790325}",20,0,10.299997411410786,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.29296950484327583}",25,2,-17.86571543279698,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.2912116878142162}",30,15,8.945075334204482,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.2894644176873309}",20,15,9.45421783352344,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.2877276311812069}",35,10,-17.150313712644,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.2860012653941197}",30,1,-12.210919162175829,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
208,False,"{'a': 0.5, 'e': 0.28428525780175495}",20,8,8.558449020480685,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
